removed_study,LRT,p,coef,metric,test
90,9.2977970533816,0.002294295779670484,0.01838908046578647,RR,temperature linear
91,6.909104254105273,0.008575794256391985,0.015016695319618589,RR,temperature linear
99,8.179172044190523,0.0042374096607523766,0.017095329125103493,RR,temperature linear
102,8.79407053055047,0.003022111769369258,0.01765355272660561,RR,temperature linear
108,8.327353108537409,0.0039052518099735927,0.017299862864205297,RR,temperature linear
113,8.759603612054207,0.0030797597844859186,0.01753095048504222,RR,temperature linear
114,11.647528896080189,6.428787723796023e-4,0.01949125118539179,RR,temperature linear
115,9.23964139667487,0.0023683132938931944,0.018127978521171543,RR,temperature linear
116,8.999456403306908,0.002700599230578865,0.017793942294466448,RR,temperature linear
121,8.977013791105719,0.002733970957186667,0.019363085787963065,RR,temperature linear
124,8.741891056846043,0.0031098184620547416,0.01769906095324745,RR,temperature linear
129,8.925167808898891,0.002812675147031354,0.01785187643754977,RR,temperature linear
137,8.732904833289012,0.003125182127193013,0.017592308313311274,RR,temperature linear
139,8.979644380205059,0.002730037757714035,0.01789691382373099,RR,temperature linear
148,7.161210897428418,0.0074496888789540895,0.016174961983343214,RR,temperature linear
150,9.739409636886307,0.0018035881461585341,0.018233457777026178,RR,temperature linear
151,8.997808973751148,0.00270303479943122,0.0183677831346181,RR,temperature linear
153,5.105251987724728,0.023853513902581853,0.01452105699380117,RR,temperature linear
154,8.724571558336947,0.0031394983690147013,0.017515794058722577,RR,temperature linear
155,8.866062897777965,0.0029052104096624017,0.017724290419386356,RR,temperature linear
158,8.755636882736212,0.0030864656770846145,0.01765005171514621,RR,temperature linear
159,7.335272662305783,0.006761442228826355,0.016301516748769396,RR,temperature linear
160,9.212866571576114,0.0024032010043177746,0.018186614531104567,RR,temperature linear
161,8.879249391882922,0.00288430104785971,0.01769465908592144,RR,temperature linear
162,8.577669272795447,0.0034031069935354062,0.01763643115193312,RR,temperature linear
163,8.656073390440383,0.003259729928748774,0.017553077628767354,RR,temperature linear
164,8.169616707747082,0.004259790769796573,0.017214335471513152,RR,temperature linear
165,9.25820593661956,0.0023444257028945445,0.018247275108656348,RR,temperature linear
166,8.791728960875503,0.003025993248020155,0.017767025304099713,RR,temperature linear
170,8.788892751785397,0.003030701443544977,0.017719295628594648,RR,temperature linear
171,8.740160938315967,0.0031127704532387334,0.01760562941659434,RR,temperature linear
47,8.53498271643366,0.0034838463810023066,0.01745403427740127,RR,temperature linear
5,11.55501786672562,6.756665888833976e-4,-0.003277957248015127,RR,SOC x temperature
7,11.717295940135955,6.192186617596479e-4,-0.003300724000720124,RR,SOC x temperature
